PlayerID,MLBAMID,Player,Age,B,Pos,Tm,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS,R$,5x5,12$,15$,BB%,Ct%,Eye,PX,xPX,HCTX,SPD,rSPD,G%,L%,F%,XBA,BA,RCG,RAR,BPV,PAvsRH,PAvsLH,AVGvsRH,AVGvsLH,OBPvsRH,OBPvsLH,SLGvsRH,SLGvsLH,OPSvsRH,OPSvsLH
5084,605137,"Bell, Josh E",23,B,39o,PIT,128,18,35,8,0,3,19,21,19,0,1,273,368,406,775,-1,-2,-12,-7,14,85,1.11,81,96,114,72,2,50,21,29,273,65,5.2,-0.4,57,129,23,284,211,380,304,440,211,820,515
3643,474832,"Belt, Brandon ",28,L,3,SF,542,77,149,41,8,17,82,104,148,0,4,275,394,474,868,12,14,9,11,16,73,0.7,134,163,108,96,2,26,28,46,259,40,6.4,15.9,61,443,212,273,279,395,392,466,492,861,883
4260,542194,"Bethancourt, Christian ",24,R,2o,SD,193,20,44,9,0,6,25,10,56,1,2,228,265,368,633,-2,-3,-12,-7,5,71,0.18,95,109,80,94,38,47,16,37,219,30,3.1,-7.7,0,159,45,224,244,252,311,368,366,620,677
3740,453568,"Blackmon, Charlie ",30,L,o8,COL,578,111,187,35,5,29,82,43,102,17,9,324,381,552,933,37,36,30,32,7,82,0.42,127,129,115,108,88,34,28,38,295,40,7.4,43.9,79,446,195,320,331,376,392,596,451,972,843
908,433217,"Blanco, Andres ",32,B,5436,PHI,190,26,48,15,1,4,21,11,41,2,3,253,316,405,721,-1,-1,-11,-6,5,78,0.27,103,68,87,86,45,52,19,29,271,40,3.8,-5.9,34,167,42,263,211,329,262,434,289,764,551
2871,453923,"Blanco, Gregor ",32,L,o879,SF,241,28,54,10,4,1,18,29,51,6,3,224,309,311,620,-3,-2,-13,-7,11,79,0.57,55,42,63,134,107,46,21,33,236,50,3.1,-11.2,23,200,73,218,242,295,347,302,339,597,686
4810,518466,"Blash, Jabari ",27,R,o9,SD,71,7,12,2,0,3,5,11,34,1,0,169,298,324,622,-5,-6,-17,-11,13,52,0.32,131,158,80,88,93,46,16,38,178,25,2.9,-3.6,-31,64,20,185,118,313,250,315,353,627,603
2761,466988,"Bonifacio, Emilio ",31,B,o7,ATL,38,6,8,0,0,0,3,3,12,1,0,211,268,211,479,-4,-5,-17,-11,7,68,0.25,0,5,40,104,113,54,19,27,178,20,1.9,-3.1,-78,39,4,200,333,243,500,200,333,443,833
4644,571506,"Bour, Justin ",28,L,3,MIA,280,35,74,12,1,15,51,38,56,0,0,264,349,475,824,6,5,-3,1,12,80,0.68,117,107,114,54,0,44,22,35,276,55,5.8,5.6,55,291,30,268,233,361,233,496,300,857,533
3464,488721,"Bourjos, Peter ",29,R,o98,PHI,355,40,89,20,7,5,23,17,91,6,4,251,292,389,681,1,2,-8,-3,4,74,0.19,91,66,69,183,135,51,17,32,244,30,3.7,-10.7,36,296,87,235,301,279,333,397,361,676,695
2542,460075,"Braun, Ryan J",32,R,9o7,MIL,511,80,156,23,3,30,91,46,98,16,5,305,365,538,903,32,30,24,25,8,81,0.47,127,97,113,108,98,56,19,25,303,45,7.1,35,76,423,141,293,344,350,411,519,598,869,1010
2980,458582,"Brignac, Reid ",30,L,5,FAN,29,3,6,2,0,0,1,0,8,0,0,207,207,276,483,-5,-6,-18,-12,0,72,0,64,76,112,86,0,45,25,30,231,40,1.8,-2.3,-30,26,3,192,333,192,333,269,333,462,667
5034,593647,"Brito, Socrates ",23,L,o89,ARI,95,10,17,3,1,4,12,2,23,2,0,179,196,358,554,-4,-5,-16,-10,2,76,0.09,102,67,81,100,119,38,25,37,255,50,2.2,-7.2,21,85,12,193,83,212,83,398,83,609,167
5047,623143,"Brown, Trevor ",24,R,2,SF,173,17,41,7,0,5,19,10,39,0,1,237,283,364,647,-3,-3,-13,-8,5,77,0.26,79,74,68,112,3,43,21,37,237,40,3.3,-5.7,19,117,67,227,254,274,299,355,381,628,679
5051,542979,"Broxton, Keon ",26,R,8o,MIL,207,28,50,10,1,9,19,36,88,23,4,242,354,430,784,11,9,-3,2,15,57,0.41,150,139,101,109,138,45,25,30,224,25,5.4,4.9,14,144,100,210,289,315,410,379,506,694,916
2807,457803,"Bruce, Jay ",29,L,9o,NYM,539,74,135,27,6,33,99,44,126,4,2,250,309,506,815,17,18,12,14,7,77,0.35,147,153,119,95,68,37,22,41,279,45,5.2,15.4,69,420,169,262,222,326,266,546,411,872,678
4522,592178,"Bryant, Kris ",24,R,5o79,CHC,603,121,176,35,3,39,102,75,154,8,5,292,385,554,939,30,31,29,29,11,74,0.49,158,159,122,113,78,31,24,46,273,35,7.2,38.4,81,513,186,284,314,372,419,523,641,896,1060
2898,502034,"Burriss, Emmanuel ",31,B,4,PHI,45,3,5,1,1,0,0,2,10,1,0,111,184,178,361,-7,-8,-19,-13,4,78,0.2,38,29,88,114,137,52,12,36,204,50,0.8,-5.6,-13,42,8,135,0,220,0,216,0,436,0
3133,460077,"Butera, Drew ",32,R,2,FAA,123,18,35,10,1,4,16,8,36,0,0,285,328,480,808,-0,-1,-12,-6,6,71,0.22,138,95,71,106,0,40,22,38,256,25,5.6,4.1,39,103,30,316,179,356,233,526,321,883,555
2717,452678,"Cabrera, Asdrubal ",30,B,6,NYM,521,65,146,30,1,23,62,38,103,5,1,280,336,474,810,16,16,9,12,7,80,0.37,114,142,119,79,70,37,23,40,273,40,5.5,10,51,444,124,269,321,327,371,477,464,803,835
4270,541608,"Cabrera, Ramon ",26,B,2,CIN,171,11,42,10,0,3,23,8,30,1,1,246,279,357,635,-2,-3,-13,-8,4,82,0.27,72,64,80,66,37,41,22,38,249,45,3.3,-5.5,18,143,42,248,237,282,268,376,289,658,558
4623,493472,"Campbell, Eric ",29,R,53,NYM,75,9,13,1,0,1,9,10,24,1,0,173,284,227,511,-6,-6,-17,-11,11,68,0.42,36,101,90,100,105,54,25,21,213,45,2,-7.3,-43,48,40,143,212,250,325,238,212,488,537
5306,600869,"Candelario, Jeimer ",22,B,5,CHC,11,0,1,0,0,0,0,2,5,0,0,91,286,91,377,-5,-6,0,0,14,55,0.4,0,100,111,95,0,67,0,33,12,15,0.6,-1.6,-122,12,2,100,0,250,500,100,0,350,500
5364,506924,"Cardullo, Stephen ",28,R,3,COL,56,5,12,3,1,2,6,3,12,0,0,214,254,411,665,-4,-5,-17,-11,5,79,0.25,114,106,87,99,0,30,25,45,262,50,3.4,-3.3,47,28,31,185,241,214,290,481,345,696,635
3792,572761,"Carpenter, Matt ",30,L,534,STL,473,81,128,36,6,21,68,81,108,0,4,271,380,505,885,11,13,8,10,14,77,0.75,144,174,131,88,2,31,26,43,282,55,6.5,20.3,81,392,174,271,270,388,363,532,446,920,809
3378,474892,"Carter, Chris ",29,R,3,MIL,549,84,122,27,1,41,94,76,206,3,1,222,321,499,821,13,15,10,11,12,62,0.37,194,174,103,71,55,32,20,49,245,30,5.2,-5.3,52,484,160,222,224,316,338,487,537,803,875
3573,456078,"Castillo, Welington ",29,R,2,ARI,416,41,110,24,0,14,68,33,121,2,0,264,322,423,745,10,9,0,4,7,71,0.27,110,128,115,64,66,42,25,33,250,30,4.7,10,7,330,127,259,278,312,346,385,522,698,868
4953,593495,"Castro, Daniel ",23,R,64,ATL,130,8,26,1,0,0,7,7,24,1,1,200,241,208,449,-7,-7,-18,-12,5,82,0.29,6,19,55,102,57,56,20,24,214,45,1.6,-12.5,-25,86,53,190,216,238,245,190,235,428,481
5233,608325,"Cecchini, Gavin ",22,R,6,NYM,6,2,2,2,0,0,2,0,2,0,0,333,429,667,1095,0,0,0,0,0,67,0,334,350,135,112,0,25,0,75,333,25,8.5,0.6,169,4,3,250,500,250,667,500,1000,750,1667
3101,465041,"Cervelli, Francisco ",30,R,2,PIT,326,42,86,14,1,1,33,56,72,6,2,264,377,322,699,3,3,-6,-1,14,78,0.78,44,59,85,98,80,56,20,24,236,45,4.2,-2.1,7,331,62,241,385,356,484,307,404,663,888
