#goldschmidthappens
Batters
Avail,Player,HR,RBI,R,AB,Salary,SB,BA,Rank,
Black Flag,Anthony Rizzo 1B | CHC ,32,109,94,583,34,3,0.292,26
Black Flag,Travis Shaw 3B | MIL ,16,71,63,480,10,5,0.242,156
Black Flag,Xander Bogaerts SS | BOS ,21,89,115,652,21,13,0.294,24
Black Flag,Eugenio Suarez 3B | CIN ,21,70,78,565,4,11,0.248,99
Black Flag,A.J. Pollock CF | ARI ,2,4,9,41,24,4,0.244,594
Black Flag,Shin-Soo Choo RF | TEX ,7,17,27,178,2,6,0.242,368
Black Flag,Jose Altuve 2B | HOU ,24,96,108,640,44,30,0.338,3
Black Flag,Michael Conforto LF | NYM ,12,42,38,304,1,2,0.220,303
,TOTALS,237,836,923,6189,235,156,0.269,
Pitchers
Avail,Player,Salary,ERA,WHIP,INN,K,S,Rank,
Black Flag,Chris Archer SP | PIT ,14,4.02,1.24,201.3,233,0,146
Black Flag,Will Smith RP | SF,1,3.35,1.21,40.3,48,0,468
Black Flag,Justin Verlander SP | HOU ,10,3.04,1.00,227.7,254,0,19
Black Flag,Kirby Yates RP | SD ,1,5.23,1.45,41.3,50,0,605
Black Flag,Madison Bumgarner SP | SF ,30,2.74,1.02,226.7,251,0,21
Black Flag,A.J. Minter RP | ATL,2,0.00,0.00,0.0,0,0,9999
Black Flag,Zack Godley SP | ARI ,11,6.39,1.49,74.7,60,0,700
Black Flag,Patrick Corbin SP | ARI ,7,5.15,1.56,155.7,131,1,635
Black Flag,Craig Kimbrel RP | BOS ,19,3.40,1.09,53.0,83,31,171
Black Flag,Jose Urena SP | MIA ,1,6.13,1.43,83.7,58,1,738
Black Flag,Rick Porcello SP | BOS ,4,3.15,1.01,223.0,189,0,22
,TOTALS,100,3.88,1.19,1327.3,1357,33,
Boys of Summer
Batters
Avail,Player,HR,RBI,R,AB,Salary,SB,BA,Rank,
Boys of Summer,Albert Almora CF | CHC,3,14,14,112,2,0,0.277,535
Boys of Summer,Nick Markakis RF | ATL,13,89,67,599,1,0,0.269,123
Boys of Summer,Willie Calhoun LF | TEX,0,0,0,0,1,0,0.000,9999
Boys of Summer,Shohei Ohtani SP | LAA ,0,0,0,0,19,0,0.000,9999
Boys of Summer,Derek Dietrich 3B | MIA,7,42,39,351,3,1,0.279,271
Boys of Summer,Gleyber Torres SS | NYY ,0,0,0,0,2,0,0.000,9999
Boys of Summer,Brian Anderson 3B | MIA ,0,0,0,0,2,0,0.000,9999
Boys of Summer,Daniel Descalso 2B | ARI ,8,38,38,250,3,3,0.264,281
Boys of Summer,Ryan Zimmerman 1B | WAS ,15,46,60,427,10,4,0.218,224
Boys of Summer,Starlin Castro 2B | MIA ,21,70,63,577,5,4,0.270,119
Boys of Summer,"Jake Lamb 3B | ARI ",29,91,81,523,13,6,0.249,68
Boys of Summer,Jed Lowrie 2B | OAK ,2,27,30,338,3,0,0.263,407
Boys of Summer,Yasmani Grandal C | LAD,27,72,49,390,5,1,0.228,153
Boys of Summer,Matt Adams 1B | STL,16,54,37,297,2,0,0.249,229
Boys of Summer,Elias Diaz C | PIT ,0,1,0,4,1,0,0.000,982
,TOTALS,141,544,478,3868,72,19,0.255,
Pitchers
Avail,Player,Salary,ERA,WHIP,INN,K,S,Rank,
Boys of Summer,Felix Hernandez SP | SEA ,8,3.81,1.32,153.3,122,0,227
Boys of Summer,Jeremy Jeffress RP | MIL ,5,2.33,1.26,58.0,42,27,211
Boys of Summer,"Caleb Smith RP | MIA ",5,0.00,0.00,0.0,0,0,9999
Boys of Summer,Shohei Ohtani SP | LAA ,19,0.00,0.00,0.0,0,0,9999
Boys of Summer,Eduardo Rodriguez SP | BOS ,2,4.71,1.30,107.0,100,0,454
Boys of Summer,Lance McCullers SP | HOU ,7,3.22,1.54,81.0,106,0,327
Boys of Summer,Zach Eflin SP | PHI ,4,5.54,1.33,63.3,31,0,692
Boys of Summer,J.A. Happ SP | NYY ,44,3.19,1.17,195.0,163,0,64
Boys of Summer,"Keynan Middleton RP | LAA ",2,0.00,0.00,0.0,0,0,9999
Boys of Summer,Joe Musgrove RP | PIT ,1,4.06,1.21,62.0,55,0,411
Boys of Summer,Jhoulys Chacin SP | MIL ,4,4.81,1.44,144.0,119,0,470
,TOTALS,101,3.94,1.31,863.7,738,27,
Brothers K
Batters
Avail,Player,HR,RBI,R,AB,Salary,SB,BA,Rank,
Brothers K,Carlos Santana 1B | PHI ,34,87,89,582,16,5,0.260,49
Brothers K,Lorenzo Cain CF | MIL,9,56,56,397,23,14,0.287,140
Brothers K,Andrelton Simmons SS | LAA ,4,44,48,448,6,10,0.281,208
Brothers K,Mike Zunino C | SEA ,12,31,16,164,1,0,0.207,392
Brothers K,Enrique Hernandez CF | LAD ,7,18,25,216,1,2,0.190,504
Brothers K,Jesus Aguilar 1B | MIL ,0,0,0,6,5,0,0.000,1008
Brothers K,Manny Pina C | MIL ,2,12,4,71,1,0,0.254,643
Brothers K,Amed Rosario SS | NYM ,0,0,0,0,2,0,0.000,9999
Brothers K,Bryce Harper RF | WAS,24,86,84,506,35,21,0.243,53
Brothers K,Marwin Gonzalez LF | HOU ,13,51,55,484,17,12,0.254,168
Brothers K,Ozzie Albies 2B | ATL,0,0,0,0,17,0,0.000,9999
Brothers K,Giancarlo Stanton RF | NYY ,27,74,56,413,31,0,0.240,130
Brothers K,Anthony Rendon 3B | WAS,20,85,91,567,24,12,0.270,57
Brothers K,Justin Turner 3B | LAD ,27,90,79,556,21,4,0.275,61
Brothers K,Billy Hamilton CF | CIN,3,17,69,411,8,58,0.260,85
,TOTALS,182,651,672,4821,208,138,0.258,
Pitchers
Avail,Player,Salary,ERA,WHIP,INN,K,S,Rank,
Brothers K,"Jordan Montgomery SP | NYY ",2,0.00,0.00,0.0,0,0,9999
Brothers K,Luis Severino SP | NYY ,10,5.83,1.45,71.0,66,0,661
Brothers K,Walker Buehler RP | LAD ,2,0.00,0.00,0.0,0,0,9999
